no,method,k,params,silhouette,bss_tss_ratio,BSS,TSS,n_clusters_actual
1,K-Means,2,k=2,0.4929,58.03,379.6973,654.2725,2
2,K-Medoids,2,k=2,0.4929,58.03,379.6973,654.2725,2
3,FCM,2,k=2,0.4929,58.03,379.6973,654.2725,2
4,PCM,2,k=2,0.4025,47.86,313.1326,654.2725,2
5,FPCM,2,k=2,0.4929,58.03,379.6973,654.2725,2
6,MFPCM,2,k=2,0.4929,58.03,379.6973,654.2725,2
7,K-Means,3,k=3,0.4473,71.62,468.5744,654.2725,3
8,K-Medoids,3,k=3,0.4042,67.09,438.9766,654.2725,3
9,FCM,3,k=3,0.4261,68.74,449.7192,654.2725,3
10,PCM,3,k=3,0.3489,58.3,381.427,654.2725,3
11,FPCM,3,k=3,0.463,71.76,469.5101,654.2725,3
12,MFPCM,3,k=3,0.4261,68.74,449.7192,654.2725,3
13,K-Means,4,k=4,0.4861,82.15,537.4914,654.2725,4
14,K-Medoids,4,k=4,0.2647,68.96,451.2153,654.2725,4
15,FCM,4,k=4,0.4999,82.29,538.3715,654.2725,4
16,PCM,4,k=4,0.4861,82.15,537.4914,654.2725,4
17,FPCM,4,k=4,0.4861,81.98,536.3419,654.2725,4
18,MFPCM,4,k=4,0.475,82.01,536.5631,654.2725,4
19,K-Means,5,k=5,0.4423,87.44,572.1255,654.2725,5
20,K-Medoids,5,k=5,0.2124,69.77,456.4576,654.2725,5
21,FCM,5,k=5,0.4423,87.44,572.1255,654.2725,5
22,PCM,5,k=5,0.4343,86.3,564.6433,654.2725,5
23,FPCM,5,k=5,0.4293,87.11,569.9092,654.2725,5
24,MFPCM,5,k=5,0.4423,87.44,572.1255,654.2725,5
25,K-Means,6,k=6,0.4225,90.37,591.2709,654.2725,6
26,K-Medoids,6,k=6,0.2444,75.5,493.9692,654.2725,6
27,FCM,6,k=6,0.415,89.51,585.6652,654.2725,6
28,PCM,6,k=6,0.415,89.51,585.6652,654.2725,6
29,FPCM,6,k=6,0.4399,90.59,592.7104,654.2725,6
30,MFPCM,6,k=6,0.415,89.51,585.6652,654.2725,6
31,K-Means,7,k=7,0.3853,92.28,603.7399,654.2725,7
32,K-Medoids,7,k=7,0.2709,82.96,542.8127,654.2725,7
33,FCM,7,k=7,0.3525,90.49,592.0301,654.2725,7
34,PCM,7,k=7,0.2981,89.8,587.5563,654.2725,7
35,FPCM,7,k=7,0.4324,92.82,607.3045,654.2725,7
36,MFPCM,7,k=7,0.3525,90.49,592.0301,654.2725,7
37,K-Means,8,k=8,0.4008,94.23,616.4922,654.2725,8
38,K-Medoids,8,k=8,0.3354,90.97,595.171,654.2725,8
39,FCM,8,k=8,0.332,91.74,600.2338,654.2725,8
40,PCM,8,k=8,0.3423,90.69,593.3554,654.2725,8
41,FPCM,8,k=8,0.3743,93.86,614.1181,654.2725,8
42,MFPCM,8,k=8,0.332,91.74,600.2338,654.2725,8
43,K-Means,9,k=9,0.3519,94.96,621.302,654.2725,9
44,K-Medoids,9,k=9,0.3645,93.92,614.4759,654.2725,9
45,FCM,9,k=9,0.3882,94.7,619.5943,654.2725,9
46,PCM,9,k=9,0.3882,94.7,619.5943,654.2725,9
47,FPCM,9,k=9,0.3603,94.86,620.6673,654.2725,9
48,MFPCM,9,k=9,0.3882,94.7,619.5943,654.2725,9
49,K-Means,10,k=10,0.3671,95.55,625.1368,654.2725,10
50,K-Medoids,10,k=10,0.3287,94.09,615.625,654.2725,10
51,FCM,10,k=10,0.3438,94.95,621.2076,654.2725,10
52,PCM,10,k=10,0.3051,94.97,621.3341,654.2725,10
53,FPCM,10,k=10,0.3576,95.34,623.7854,654.2725,10
54,MFPCM,10,k=10,0.3438,94.95,621.2076,654.2725,10
