,count,mean,std,min,25%,50%,75%,max,cv
Nilai Semester 1 - Aljabar Linier,28.0,68.0,6.743995957997119,61.0,62.0,65.0,76.0,80.0,0.09917641114701646
Nilai Semester 1 - Statistika Dasar,28.0,72.28571428571429,5.855400437691199,63.0,68.0,69.0,77.0,88.0,0.08100356336726955
Nilai Semester 1 - Pemrograman 1,28.0,75.5,12.04774452535196,57.0,67.5,76.5,80.0,99.0,0.15957277517022464
Nilai Semester 1 - Logika dan Algoritma,28.0,71.67857142857143,9.560929644201742,58.0,65.0,69.0,79.0,87.0,0.1333861634467607
Nilai Semester 1 - Basis Data,28.0,81.67857142857143,5.040969714387863,76.0,78.0,79.0,86.0,94.0,0.06171716309700925
Nilai Semester 1 - Matematika 1,28.0,67.5,9.453590342847017,56.0,59.0,66.0,77.0,87.0,0.14005319026440025
Nilai Semester 1 - Agama,28.0,85.32142857142857,5.994155001323722,70.0,80.0,87.5,89.25,95.0,0.07025380495481968
Nilai Semester 1 - Praktikum Statistika Dasar,28.0,80.82142857142857,3.600962540339904,77.0,78.0,79.0,86.0,87.0,0.044554551979459706
Nilai Semester 1 - Praktikum Pemrograman 1,28.0,79.42857142857143,8.01123549646958,60.0,76.0,79.0,87.0,90.0,0.10086087855267456
Nilai Semester 1 - Praktikum Basis Data,28.0,86.03571428571429,2.9749838823982055,78.0,86.0,86.0,87.0,90.0,0.03457847600960969
Nilai Semester 2 - Pemodelan Statistik Terapan,28.0,77.35714285714286,8.224688604774204,61.0,74.5,78.0,81.5,90.0,0.1063209976609777
Nilai Semester 2 - Pemrograman 2,28.0,81.46428571428571,9.550963274502706,59.0,76.75,86.0,89.0,92.0,0.11724110990183069
Nilai Semester 2 - Kecerdasan Buatan,28.0,80.75,6.010022493333147,62.0,77.0,78.5,86.0,89.0,0.0744275231372526
Nilai Semester 2 - Pemrosesan Data,28.0,86.60714285714286,2.8197620823498926,77.0,86.0,87.0,88.0,90.0,0.032558077651875045
Nilai Semester 2 - Manajemen Data,28.0,80.14285714285714,7.942918046281674,66.0,76.0,79.5,87.0,93.0,0.09910949433863052
Nilai Semester 2 - Matematika 2,28.0,83.39285714285714,8.107332235626956,64.0,77.0,87.0,89.0,94.0,0.09721854500965943
Nilai Semester 2 - Kewarganegaraan,28.0,87.92857142857143,0.37796447300922725,86.0,88.0,88.0,88.0,88.0,0.004298539904247913
Nilai Semester 2 - Praktikum Pemodelan Statistik Terapan,28.0,79.92857142857143,4.674030471291436,68.0,77.0,79.0,81.5,90.0,0.058477593027774895
Nilai Semester 2 - Praktikum Pemrograman 2,28.0,83.07142857142857,4.890872613413165,76.0,78.0,86.0,87.0,90.0,0.058875508673933194
Nilai Semester 2 - Praktikum Kecerdasan Buatan,28.0,79.75,5.73246117397328,67.0,77.0,79.0,81.5,90.0,0.07188039089621667
Nilai Semester 2 - Praktikum Pemrosesan Data,28.0,87.35714285714286,2.724569768473625,78.0,87.0,88.0,88.25,90.0,0.031188860800188675
Nilai Semester 2 - Praktikum Manajemen Data,28.0,71.75,7.188596937228149,66.0,68.0,69.0,69.25,89.0,0.10018950435161184
Nilai Semester 3 - Matematika 3,28.0,89.46428571428571,8.107984829130974,57.0,88.75,90.5,93.5,97.0,0.09062817373878933
